# M.A.C.E. Audit Report
# Hostname: macbook-air-6.local
#
# Summary
# Pass Rate: 25.0%
# Total: 113
# Passed: 28
# Failed: 84
# Manual Review: 1
# Errors: 0
# Generated: 2025-12-14T03:20:43Z
#
# Section Summary
# iCloud: 0/1 passed (0%)
# Password Policy: 1/8 passed (12%)
# System Settings: 9/43 passed (21%)
# Operating System: 11/40 passed (28%)
# Audit: 7/21 passed (33%)
#
Rule ID,CIS ID,Title,Section,Status,Expected Output,Actual Output,Discussion,Comment,Error Message,Check Script,Fix Script,Modified,Execution Time (s),Timestamp
system_settings_location_services_menu_enforce,2.6.1.2 (level 2),Ensure Location Services Is In the Menu Bar,system_settings,Fail,1,,,,"Expected: 1, Got: ",/usr/bin/defaults read /Library/Preferences/com.apple.locationmenu.plist ShowSystemServices,/usr/bin/defaults write /Library/Preferences/com.apple.locationmenu.plist ShowSystemServices -bool true,No,0.016,2025-12-14T03:19:26Z
system_settings_install_macos_updates_enforce,1.3 (level 1),Enforce macOS Updates are Automatically Installed,system_settings,Pass,true,true,,,,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.SoftwareUpdate')\
.objectForKey('AutomaticallyInstallMacOSUpdates').js
EOS","[Mobileconfig] - PayloadContent:
  - AutomaticallyInstallMacOSUpdates: true
  PayloadType: com.apple.SoftwareUpdate
",No,0.057,2025-12-14T03:19:26Z
system_settings_printer_sharing_disable,2.3.3.3 (level 1),Disable Printer Sharing,system_settings,Fail,1,0,,,"Expected: 1, Got: 0","/usr/sbin/cupsctl | /usr/bin/grep -c ""_share_printers=0""","/usr/sbin/cupsctl --no-share-printers
/usr/bin/lpstat -p | awk '{print $2}'| /usr/bin/xargs -I{} lpadmin -p {} -o printer-is-shared=false",No,0.049,2025-12-14T03:19:26Z
system_settings_guest_access_smb_disable,2.13.2 (level 1),Disable Guest Access to Shared SMB Folders,system_settings,Fail,0,,,,"Expected: 0, Got: ",/usr/bin/defaults read /Library/Preferences/SystemConfiguration/com.apple.smb.server AllowGuestAccess,/usr/sbin/sysadminctl -smbGuestAccess off,No,0.013,2025-12-14T03:19:26Z
system_settings_time_machine_encrypted_configure,2.3.4.2 (level 1),Ensure Time Machine Volumes are Encrypted,system_settings,Pass,0,0,,,,/usr/bin/sudo /usr/bin/defaults read /Library/Preferences/com.apple.TimeMachine.plist | grep -c NotEncrypted,,No,0.051,2025-12-14T03:19:26Z
system_settings_screensaver_ask_for_password_delay_enforce,2.11.2 (level 1),Enforce Session Lock After Screen Saver is Started,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/osascript -l JavaScript << EOS
function run() {
  let delay = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.screensaver')\
.objectForKey('askForPasswordDelay'))
  if ( delay <= $ODV ) {
    return(""true"")
  } else {
    return(""false"")
  }
}
EOS","[Mobileconfig] - PayloadContent:
  - askForPasswordDelay: $ODV
  PayloadType: com.apple.screensaver
",No,0.033,2025-12-14T03:19:27Z
system_settings_improve_search_disable,2.9.1,Disable Improve Search Information to Apple,system_settings,Fail,2,,,,"Expected: 2, Got: ","/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.assistant.support')\
.objectForKey('Search Queries Data Sharing Status').js
EOS","[Mobileconfig] - PayloadContent:
  - Search Queries Data Sharing Status: 2
  PayloadType: com.apple.assistant.support
",No,0.039,2025-12-14T03:19:27Z
system_settings_location_services_enable,2.6.1.1 (level 2),Enable Location Services,system_settings,Fail,true,,,,"Expected: true, Got: ","/usr/bin/sudo -u _locationd /usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.locationd')\
.objectForKey('LocationServicesEnabled').js
EOS","/usr/bin/defaults write /var/db/locationd/Library/Preferences/ByHost/com.apple.locationd LocationServicesEnabled -bool true;
pid=$(/bin/launchctl list | /usr/bin/awk '/com.apple.locationd/ { print $1 }')
kill -9 $pid",No,0.028,2025-12-14T03:19:27Z
system_settings_software_update_download_enforce,1.2 (level 1),Enforce Software Update Downloads Updates Automatically,system_settings,Pass,true,true,,,,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.SoftwareUpdate')\
.objectForKey('AutomaticDownload').js
EOS","[Mobileconfig] - PayloadContent:
  - AutomaticDownload: true
  PayloadType: com.apple.SoftwareUpdate
",No,0.039,2025-12-14T03:19:27Z
system_settings_guest_account_disable,2.13.1 (level 1),Disable the Guest Account,system_settings,Fail,true,false,,,"Expected: true, Got: false","/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.MCX')\
.objectForKey('DisableGuestAccount'))
  let pref2 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.MCX')\
.objectForKey('EnableGuestAccount'))
  if ( pref1 == true && pref2 == false ) {
    return(""true"")
  } else {
    return(""false"")
  }
}
EOS","[Mobileconfig] - PayloadContent:
  - DisableGuestAccount: true
  - EnableGuestAccount: false
  PayloadType: com.apple.MCX
",No,0.040,2025-12-14T03:19:27Z
